Ba,Cd,Co,Cs,Mo,Pb,Sb,Tl,Tu,Ur
382,382,382,382,382,382,382,382,382,382
0.07799,0.02174,0.07242,1.43738,4.84971,0.10749,0.00827,0.03996,0.01484,0.00105
0.5979,0.08296,0.21613,2.77052,24.44599,0.2,0.03194,0.09019,0.03265,0.0022
0.91209,0.11997,0.28067,3.4245,31.39995,0.25501,0.0384,0.11986,0.05579,0.00334
1.61496,0.18595,0.42441,4.49862,44.98854,0.38549,0.05337,0.16004,0.09025,0.00536
2.75996,0.30219,0.65789,5.98123,67.72047,0.59444,0.07939,0.21153,0.16787,0.00959
4.35834,0.5225,1.10238,7.16516,91.38171,1,0.12394,0.2682,0.25903,0.01841
7.20303,0.71014,1.46137,9.17142,105.22366,1.33806,0.15457,0.32291,0.37388,0.03043
9.96411,1.07926,2.17927,14.62011,165.5856,2.37809,0.38305,0.53321,1.13094,0.06432
15.06061,2.73429,3.06707,49.16667,432.65306,5.42045,1.78182,0.60909,2.63721,0.10239
2.19427,0.25738,0.56584,5.05195,54.616,0.5235,0.07799,0.17542,0.14764,0.00943
1.58177,0.19386,0.45583,4.53823,45.97652,0.41374,0.05873,0.15888,0.09846,0.00611
